0383
CHA_407594_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-29 04:50:00,29.71,6.867252,1.24
2023-11-29 04:55:00,30.86,6.91439,1.18
2023-11-29 05:00:00,23.81,4.818592,1.21
2023-11-29 05:05:00,23.81,4.261068,1.07
2023-11-29 05:10:00,23.81,4.420361,1.11
2023-11-29 05:15:00,23.84,4.309159,1.08
2023-11-29 05:20:00,24.46,4.397049,1.06
2023-11-29 05:25:00,27.56,5.647704,1.14
2023-11-29 05:30:00,23.81,4.340715,1.09
2023-11-29 05:35:00,23.81,4.380538,1.1
2023-11-29 05:40:00,23.81,4.500007,1.13
2023-11-29 05:45:00,23.81,4.778769,1.2
2023-11-29 05:50:00,30.7,7.036048,1.21
2023-11-29 05:55:00,25.93,5.427892,1.2
2023-11-29 06:00:00,27.77,5.962313,1.19
2023-11-29 06:05:00,26.29,5.445818,1.18
2023-11-29 06:10:00,26.49,5.367825,1.15
2023-11-29 06:15:00,23.81,4.579653,1.15
2023-11-29 06:20:00,27.22,5.6412,1.16
2023-11-29 06:25:00,29.6,5.727644,1.04
2023-11-29 06:30:00,28.88,5.785183,1.09
2023-11-29 06:35:00,23.81,4.579653,1.15
2023-11-29 06:40:00,23.81,4.420361,1.11
2023-11-29 06:45:00,23.81,4.619476,1.16
2023-11-29 06:50:00,23.81,4.619476,1.16
2023-11-29 06:55:00,23.81,4.659299,1.17
2023-11-29 07:00:00,23.81,4.699122,1.18
2023-11-29 07:05:00,23.81,5.256646,1.32
2023-11-29 07:10:00,23.81,5.05753,1.27
2023-11-29 07:15:00,27.92,6.262625,1.24
2023-11-29 07:20:00,23.81,4.977884,1.25
2023-11-29 07:25:00,23.81,5.097353,1.28
2023-11-29 07:30:00,23.81,4.977884,1.25
2023-11-29 07:35:00,22.43,4.377014,1.2
2023-11-29 07:40:00,22.27,4.258405,1.18
2023-11-29 07:45:00,22.1,3.710413,1.04
2023-11-29 07:50:00,21.89,3.657596,1.04
2023-11-29 07:55:00,21.4,3.534355,1.04
2023-11-29 08:00:00,21.11,3.195154,0.96
2023-11-29 08:05:00,21.31,3.241587,0.96
2023-11-29 08:10:00,21.07,3.518087,1.06
2023-11-29 08:15:00,20.87,3.306161,1.01
2023-11-29 08:20:00,20.62,3.377349,1.05
2023-11-29 08:25:00,20.65,3.803554,1.18
2023-11-29 08:30:00,20.71,3.366488,1.04
2023-11-29 08:35:00,20.46,3.339109,1.05
2023-11-29 08:40:00,20.14,3.231558,1.04
2023-11-29 08:45:00,20.01,3.170008,1.03
